datetime,latitude,longitude,altitude_km
2025-04-15T13:48:36.897599+00:00,-30.398652390248078,-130.54757032519916,428.6941828466206
2025-04-15T13:49:36.897599+00:00,-27.672836415349696,-127.40385254018811,428.27165962447907
2025-04-15T13:50:36.897599+00:00,-24.87890059492097,-124.41470617533686,427.8294899043467
2025-04-15T13:51:36.897599+00:00,-22.02743774368794,-121.55875821320996,427.3679705416944
2025-04-15T13:52:36.897599+00:00,-19.12778869917477,-118.81615100037664,426.88759126656714
2025-04-15T13:53:36.897599+00:00,-16.188254170039542,-116.1684639630875,426.3890621787705
2025-04-15T13:54:36.897599+00:00,-13.21628538625704,-113.59856765210449,425.8733378671013
2025-04-15T13:55:36.897599+00:00,-10.21865431833123,-111.0904405086188,425.34163753462326
2025-04-15T13:56:36.897599+00:00,-7.201605811356409,-108.62896720898453,424.79546057935477
2025-04-15T13:57:36.897599+00:00,-4.170994747705732,-106.19972952418304,424.23659715895155
2025-04-15T13:58:36.897599+00:00,-1.1324116639593336,-103.7887953684608,423.66713335698114
2025-04-15T13:59:36.897599+00:00,1.9086996711742767,-101.38250834475826,423.0894506659497
2025-04-15T14:00:36.897599+00:00,4.946929223401429,-98.96727806784587,422.5062196064973
2025-04-15T14:01:36.897599+00:00,7.976788736110946,-96.52937049761039,421.9203874114846
2025-04-15T14:02:36.897599+00:00,10.992597384816424,-94.05469724918086,421.3351598158142
2025-04-15T14:03:36.897599+00:00,13.988361545083244,-91.52860331617217,420.7539771057218
2025-04-15T14:04:36.897599+00:00,16.95764512717236,-88.93565394452905,420.1804846929708
2025-04-15T14:05:36.897599+00:00,19.89342691404132,-86.25942377822722,419.6184985874406
2025-04-15T14:06:36.897599+00:00,22.78794144981266,-83.48229529405778,419.0719662443189
2025-04-15T14:07:36.897599+00:00,25.6325004258912,-80.5852795886855,418.5449233567015
2025-04-15T14:08:36.897599+00:00,28.417292466540154,-77.54788163750132,418.0414472501334
2025-04-15T14:09:36.897599+00:00,31.131161138606494,-74.34804524859028,417.5656076092364
2025-04-15T14:10:36.897599+00:00,33.7613645160926,-70.96223110143319,417.1214153279807
2025-04-15T14:11:36.897599+00:00,36.29332557324286,-67.3657049616214,416.7127703218657
2025-04-15T14:12:36.897599+00:00,38.71039212327345,-63.533141221407085,416.3434091719546
2025-04-15T14:13:36.897599+00:00,40.99363903182195,-59.43967447423174,416.0168534863142
2025-04-15T14:14:36.897599+00:00,43.12176451917847,-55.06254724037427,415.73635986341833
2025-04-15T14:15:36.897599+00:00,45.07115528977858,-50.383483217574444,415.5048723246773
2025-04-15T14:16:36.897599+00:00,46.816217101948546,-45.391828871552285,415.32497804929335
